字,辅码
㖙,lb
㖚,rb
㖛,gb
㖜,wb
㖝,wb
㖞,kn
㖟,ky
㖠,ku
㖡,kw
㖢,kb
㖣,kk
㖤,ku
㖥,kh
㖦,kd
㖧,ko
㖨,ku
㖩,ky
㖪,ka
㖫,kw
㖬,ky
㖭,kx
㖮,kc
㖯,kb
㖰,kk
㖱,wk
㖲,nb
㖳,db
㖴,kw
㖵,kb
㖶,kt
㖷,kz
㖸,ke
㖹,km
㖺,ko
㖻,ka
㖼,ka
㖽,ky
㖾,xn
㖿,ke
㗀,ky
㗁,kk
㗂,ko
㗃,ko
㗄,kf
㗅,ko
㗆,ku
㗇,ky
㗈,kl
㗉,fk
㗊,xx
㗋,ku
㗌,kt
㗍,ko
㗎,ka
㗏,kv
㗐,km
㗑,kf
㗒,kk
㗓,kl
㗔,kw
㗕,kr
㗖,kj
㗗,ku
㗘,kc
㗙,kc
㗚,ka
㗛,ky
㗜,kt
㗝,kx
㗞,kp
㗟,db
㗠,nb
㗡,cb
㗢,kl
㗣,kj
㗤,gk
㗥,ke
㗦,ke
㗧,kt
㗨,kk
㗩,kb
㗪,kx
㗫,ku
㗬,xx
㗭,kx
㗮,xr
㗯,lb
㗰,kz
㗱,ka
㗲,ka
㗳,kk
㗴,ko
㗵,kq
㗶,ku
㗷,kb
㗸,kf
㗹,kx
㗺,kf
㗻,kk
㗼,kw
㗽,xk
㗾,kb
㗿,kk
㘀,km
㘁,kg
㘂,kx
㘃,kx
㘄,kf
㘅,kj
㘆,kt
㘇,ka
㘈,kz
㘉,ke
㘊,kk
㘋,kb
㘌,kd
㘍,kg
㘎,kw
㘏,zb
㘐,kf
㘑,kl
㘒,hb
㘓,kj
㘔,kb
㘕,km
㘖,ky
㘗,kv
㘘,xk
㘙,kw
㘚,kw
㘛,kl
㘜,rk
㘝,wy
㘞,wl
㘟,wc
㘠,wb
㘡,wj
㘢,wg
㘣,wo
㘤,wa
㘥,wx
㘦,tl
㘧,ty
㘨,tn
㘩,tb
㘪,tm
㘫,tj
㘬,tg
㘭,tv
㘮,ti
㘯,tl
㘰,td
㘱,tr
㘲,tj
㘳,bt
㘴,tr
㘵,tj
㘶,xt
㘷,tx
㘸,dt
㘹,vt
㘺,tg
㘻,ty
㘼,tk
㘽,gt
㘾,ty
㘿,tt
㙀,tj
㙁,tm
㙂,tx
㙃,tb
㙄,tt
㙅,ta
㙆,ts
㙇,tu
㙈,tj
㙉,tb
㙊,ti
㙋,tb
㙌,tb
㙍,ty
㙎,tn
㙏,tw
㙐,te
㙑,yt
㙒,tt
㙓,tt
㙔,tf
㙕,to
㙖,ty
㙗,ty
㙘,tn
㙙,dt
㙚,tn
㙛,tc
㙜,wt
㙝,to
㙞,ta
㙟,to
㙠,kt
㙡,tz
㙢,tr
㙣,ti
㙤,th
㙥,tk
㙦,rt
㙧,tt
㙨,tr
㙩,tx
㙪,tb
㙫,ta
㙬,lt
㙭,tq
㙮,tk
㙯,ty
㙰,dt
㙱,kt
㙲,tv
㙳,tx
㙴,tk
㙵,tt
㙶,wt
㙷,th
㙸,tf
㙹,tx
㙺,tb
㙻,tt
㙼,tt
㙽,tb
㙾,tz
㙿,tn
㚀,tg
㚁,tw
㚂,ty
㚃,tx
㚄,tz
㚅,wu
㚆,ww
㚇,xw
㚈,xu
㚉,nx
㚊,xr
㚋,xk
㚌,xg
㚍,xb
㚎,dk
㚏,dc
㚐,dd
㚑,ed
㚒,dr
㚓,da
㚔,dg
㚕,df
㚖,bd
㚗,dq
㚘,ff
㚙,ld
㚚,dk
㚛,do
㚜,da
㚝,dt
㚞,da
㚟,dd
㚠,dh
㚡,dk
㚢,rn
㚣,nn
㚤,ng
㚥,ny
㚦,nw
㚧,ng
㚨,nu
㚩,no
㚪,nm
㚫,nj
㚬,ny
㚭,ny
㚮,nj
㚯,nf
㚰,np
㚱,nq
㚲,nv
㚳,nk
㚴,nj
㚵,nd
㚶,nl
㚷,nx
㚸,nk
㚹,ne
㚺,nz
㚻,tn
㚼,nt
㚽,gn
㚾,nx
㚿,nb
㛀,ne
㛁,np
㛂,nb
㛃,fn
㛄,ny
㛅,ne
㛆,na
㛇,nt
㛈,nk
㛉,nx
㛊,na
㛋,nx
㛌,nn
㛍,nr
㛎,nk
㛏,nq
㛐,ng
㛑,dn
㛒,nb
㛓,nj
㛔,nf
㛕,nb
㛖,nw
㛗,nr
㛘,nz
㛙,nx
㛚,ny
㛛,nu
㛜,rn
㛝,nb
㛞,nc
㛟,nr
㛠,no
㛡,ny
㛢,nn
㛣,nb
㛤,nd
㛥,no
㛦,na
㛧,nu
㛨,nv
㛩,no
㛪,nd
㛫,nw
㛬,nt
㛭,no
㛮,ny
㛯,nl
㛰,no
㛱,ny
㛲,ny
㛳,wn
㛴,nx
㛵,nr
㛶,nh
㛷,hn
㛸,nb
㛹,ng
㛺,no
㛻,nt
㛼,nj
㛽,nm
㛾,nk
㛿,nj
㜀,no
㜁,nd
㜂,tn
㜃,nk
㜄,nf
㜅,nt
㜆,nm
㜇,nx
㜈,mn
㜉,nb
㜊,ny
㜋,nm
㜌,tn
㜍,nk
㜎,nd
㜏,nb
㜐,nb
㜑,dn
㜒,nc
㜓,nk
㜔,nx
㜕,ni
㜖,no
㜗,np
㜘,nq
㜙,nb
㜚,nb
㜛,nq
㜜,nw
㜝,ny
㜞,in
㜟,nw
㜠,nv
㜡,nz
㜢,nn
㜣,nh
㜤,nu
㜥,nb
㜦,nc
㜧,nq
㜨,nn
㜩,nd
㜪,ln
㜫,nj
㜬,nk
㜭,nt
㜮,nm
㜯,nh
㜰,na
㜱,nb
㜲,nn
㜳,nx
㜴,no
㜵,nm
㜶,nt
㜷,gn
㜸,cn
㜹,nv
㜺,nb
㜻,nx
㜼,nq
㜽,vz
㜾,zj
㜿,zy
㝀,mz
㝁,bz
㝂,zt
㝃,ze
㝄,wt
㝅,tz
㝆,zk
㝇,wz
㝈,xz
㝉,ba
㝊,by
㝋,bl
㝌,bj
㝍,by
㝎,bv
㝏,bj
㝐,bg
㝑,bf
㝒,bg
㝓,bk
㝔,bf
㝕,by
㝖,bx
㝗,bl
㝘,bk
㝙,bb
㝚,bv
㝛,bx
㝜,bo
㝝,ba
㝞,by
㝟,bj
㝠,bl
㝡,by
㝢,by
㝣,bd
㝤,br
㝥,bm
㝦,bn
㝧,br
㝨,by
㝩,bl
㝪,bw
㝫,bu
㝬,bf
㝭,bu
㝮,by
㝯,bk
㝰,bf
㝱,bx
㝲,bj
㝳,ax
㝴,yc
㝵,oc
㝶,sc
㝷,ew
㝸,xe
㝹,ut
㝺,ju
㝻,cu
㝼,yy
㝽,yu
㝾,yg
㝿,yp
㞀,yh
㞁,yb
㞂,yn
㞃,gy
㞄,yd
㞅,yg
㞆,yk
㞇,yy
㞈,yc
㞉,yg
㞊,iy
㞋,uy
㞌,uz
㞍,uw
㞎,ub
㞏,uf
㞐,ul
㞑,uu
㞒,uz
㞓,uo
㞔,ux
㞕,uo
㞖,uu
㞗,uq
㞘,uu
㞙,uu
㞚,uj
㞛,uo
㞜,un
㞝,gu
㞞,uz
㞟,ud
㞠,ux
㞡,uy
㞢,ca
㞣,cf
㞤,ur
㞥,ur
㞦,uj
㞧,un
㞨,uz
㞩,uf
㞪,eu
㞫,uv
㞬,ug
㞭,du
㞯,ju
㞰,uw
㞱,uo
㞲,uv
㞳,ud
㞴,uu
㞵,uw
㞶,uw
㞷,cw
㞸,ub
㞹,uk
㞺,uu
㞻,uk
㞼,lu
㞽,ul
㞾,ub
㞿,ux
㟀,hu
㟁,ug
㟂,um
㟃,uk
㟄,uy
㟅,ue
㟆,uu
㟇,ur
㟈,uq
㟉,un
㟊,uz
㟋,ux
㟌,up
㟍,ul
㟎,un
㟏,uk
㟐,uw
㟑,uz
㟒,uk
㟓,uj
㟔,uk
㟕,ud
㟖,uc
㟗,uf
㟘,uk
㟙,uo
㟚,au
㟛,ug
㟜,ux
㟝,uk
㟞,ug
㟟,uv
㟠,uu
㟡,uv
㟢,uk
㟣,ug
㟤,uu
㟥,up
㟦,ui
㟧,uk
㟨,ue
㟩,mu
㟪,uy
㟫,uu
㟬,uy
㟭,uo
㟮,uq
㟯,uk
㟰,ul
㟱,uh
㟲,ux
㟳,ua
㟴,ug
㟵,uv
㟶,ux
㟷,uk
㟸,uu
㟹,ue
㟺,un
㟻,iu
㟼,uw
㟽,uu
㟾,uo
㟿,uc
㠀,nu
㠁,up
㠂,uw
㠃,ug
㠄,ub
㠅,uw
㠆,uu
㠇,uy
㠈,uw
㠉,ul
㠊,uy
㠋,uk
㠌,uq
㠍,ua
㠎,ua
㠏,uf
㠐,uk
㠑,uf
㠒,ud
㠓,uu
㠔,ux
㠕,ug
㠖,uw
㠗,ud
㠘,ub
㠙,uu
㠚,uc
㠛,uy
㠜,uz
㠝,ub
㠞,ru
㠟,uu
㠠,um
㠡,um
㠢,uy
㠣,uv
㠤,uf
㠥,ut
㠦,ub
㠧,uf
㠨,uc
㠩,vi
㠪,ga
㠫,gf
㠬,gf
㠭,gg
㠮,bg
㠯,kk
㠰,lj
㠱,sb
㠲,jb
㠳,rj
㠴,jd
㠵,wj
㠶,jj
㠷,jj
㠸,jf
㠹,jj
㠺,ju
㠻,lj
㠼,jt
㠽,jd
㠾,xj
㠿,vj
㡀,xx
㡁,jk
㡂,dj
㡃,ji
㡄,jo
㡅,jx
㡆,ji
㡇,jv
㡈,je
㡉,jx
㡊,jj
㡋,jd
㡌,jo
㡍,bj
㡎,jp
㡏,jd
㡐,jd
㡑,hj
㡒,jo
㡓,ji
㡔,mj
㡕,jy
㡖,jv
㡗,jj
㡘,jj
㡙,jb
㡚,jr
㡛,ji
㡜,ju
㡝,jf
㡞,jn
㡟,jo
㡠,jb
㡡,jc
㡢,jf
㡣,wv
㡤,jw
㡥,jx
㡦,jb
㡧,jb
㡨,jj
㡩,xj
㡪,jw
㡫,yr
㡬,yi
㡭,vy
㡮,gq
㡯,gq
㡰,gy
㡱,gj
㡲,gg
㡳,gu
㡴,gl
㡵,gs
㡶,gv
㡷,gb
㡸,gv
㡹,gq
㡺,gd
㡻,ge
㡼,gy
㡽,gy
㡾,gg
㡿,gn
㢀,gu
㢁,gx
㢂,gl
㢃,gl
㢄,gb
㢅,gc
㢆,gl
㢇,gk
㢈,gv
㢉,gq
㢊,gk
㢋,gx
㢌,gk
㢍,gy
㢎,gj
㢏,gd
㢐,gk
㢑,gu
㢒,gq
㢓,gu
㢔,gz
㢕,gv
㢖,gt
㢗,gk
㢘,gh
㢙,gl
㢚,gl
㢛,gr
㢜,gx
㢝,gh
㢞,gg
㢟,zv
㢠,zk
㢡,pc
㢢,xc
㢣,cc
㢥,kg
㢦,kg
㢧,ga
㢨,gg
㢩,gu
㢪,gk
㢫,gu
㢬,gs
㢭,gy
㢮,gy
㢯,gm
㢰,gp
㢱,gx
㢲,gb
㢳,gy
㢴,gd
㢵,gk
㢶,gb
㢷,gx
㢸,gw
㢹,gx
㢺,gn
㢻,gn
㢼,gx
㢽,ge
㢾,gt
㢿,gu
㣀,gb
㣁,gy
㣂,gg
㣃,gg
㣄,ga
㣅,go
㣆,gy
㣇,hj
㣈,hj
㣉,gp
㣊,wp
㣋,jp
㣌,vp
㣍,sp
㣎,bp
㣏,dp
㣐,bp
㣑,gp
㣒,bp
㣓,dp
㣔,rd
㣕,rd
㣖,rt
㣗,rh
㣘,rj
㣙,ry
㣚,rk
㣛,rk
㣜,rd
㣝,ru
㣞,ry
㣟,rk
㣠,rd
㣡,rv
㣢,rd
㣣,rr
㣤,rg
㣥,rc
㣦,rn
㣧,rv
㣨,rg
㣩,ra
㣪,ry
㣫,rv
㣬,re
㣭,rw
㣮,rg
㣯,ro
㣰,rx
㣱,rb
㣲,rk
㣳,rh
㣴,rb
㣵,ry
㣶,rd
㣷,rd
㣸,ru
㣹,rx
㣺,xd
㣻,xx
㣼,xd
㣽,nx
㣾,xi
㣿,xu
㤀,vx
㤁,tx
㤂,jx
㤃,xf
㤄,xj
㤅,wx
㤆,xy
㤇,xy
㤈,xx
㤉,xy
㤊,xx
㤋,xf
㤌,xg
㤍,gx
㤎,lx
㤏,xd
㤐,vx
㤑,xk
㤒,xu
㤓,xb
㤔,xc
㤕,xi
㤖,xd
㤗,ix
㤘,xe
㤙,wx
㤚,xd
㤛,xw
㤜,xd
㤝,xy
㤞,xq
㤟,qx
㤠,dx
㤡,xd
㤢,xo
㤣,bx
㤤,xn
㤥,xr
㤦,xl
㤧,xk
㤨,xg
㤩,wx
㤪,ax
㤫,ux
㤬,xt
㤭,xl
㤮,qx
㤯,xk
㤰,rx
㤱,xb
㤲,dx
㤳,xk
㤴,xv
㤵,zx
㤶,xp
㤷,xk
㤸,xi
㤹,xq
㤺,xi
㤻,lx
㤼,xl
㤽,xc
㤾,xa
㤿,xd
㥀,xq
㥁,vx
㥂,xc
㥃,xm
㥄,xw
㥅,xy
㥆,xl
㥇,xg
㥈,jx
㥉,xk
㥊,xo
㥋,rx
㥌,xm
㥍,xb
㥎,hx
㥏,xb
㥐,rx
㥑,bx
㥒,xa
㥓,xk
㥔,xo
㥕,hx
㥖,dx
㥗,xw
㥘,xd
㥙,xx
㥚,xr
㥛,xa
㥜,xo
㥝,xe
㥞,xu
㥟,xu
㥠,xo
㥡,xa
㥢,xy
㥣,dx
㥤,mx
㥥,xd
㥦,kx
㥧,xy
㥨,nx
㥩,xo
㥪,xn
㥫,xo
㥬,xf
㥭,xu
㥮,xc
㥯,vx
㥰,xy
㥱,xf
㥲,ux
㥳,xx
㥴,xj
㥵,xu
㥶,bx
㥷,gx
㥸,mx
㥹,mx
㥺,xm
㥻,gx
㥼,xh
㥽,xb
㥾,xk
㥿,fx
㦀,xf
㦁,zx
㦂,xx
㦃,xu
㦄,gx
㦅,xj
㦆,xh
㦇,xb
㦈,xm
㦉,xb
㦊,xf
㦋,xo
㦌,mx
㦍,xn
㦎,xa
㦏,xg
㦐,xb
㦑,xw
㦒,xk
㦓,xh
㦔,ox
㦕,xu
㦖,xx
㦗,xu
㦘,bx
㦙,xx
㦚,xy
㦛,jx
㦜,xy
㦝,vx
㦞,tx
㦟,vx
㦠,xc
㦡,xa
㦢,xe
㦣,rx
㦤,tx
㦥,xx
㦦,xe
㦧,xo
㦨,xj
㦩,xx
㦪,xy
㦫,xb
㦬,xv
㦭,xr
㦮,ga
㦯,ga
㦰,gr
㦱,gt
㦲,gd
㦳,gt
㦴,gk
㦵,pg
㦶,gt
㦷,sg
㦸,bg
㦹,og
㦺,ig
㦻,xg
㦼,ig
㦽,uv
㦾,hy
㦿,ha
㧀,hj
㧁,hq
㧂,ht
㧃,fj
㧄,fk
㧅,fd
㧆,fj
㧇,fa
㧈,fg
㧉,fq
㧊,fj
㧋,fq
㧌,fm
㧍,ff
㧎,fy
㧏,fx
㧐,fy
㧑,fw
㧒,fb
㧓,fg
㧔,fg
㧕,fe
㧖,fv
㧗,fb
㧘,vu
㧙,fb
㧚,fw
㧛,lu
㧜,fj
㧝,lu
㧞,fy
㧟,fk
㧠,fx
㧡,fr
㧢,fy
㧣,fw
㧤,fy
㧥,fe
㧦,fo
㧧,fi
㧨,fk
㧩,fj
㧪,fv
㧫,fe
㧬,gu
㧭,gu
㧮,fj
㧯,fl
㧰,fl
㧱,ru
㧲,fa
㧳,fu
㧴,fw
㧵,fk
㧶,fu
㧷,fk
㧸,fl
㧹,fc
㧺,fo
㧻,fu
㧼,fy
㧽,fg
㧾,fx
㧿,fz
㨀,fr
㨁,fq
㨂,fd
㨃,fz
㨄,fk
㨅,fn
㨆,fa
㨇,du
㨈,fo
㨉,fo
㨊,fo
㨋,fo
㨌,tu
㨍,tu
㨎,fd
㨏,fh
㨐,fa
㨑,fw
㨒,ft
㨓,fn
㨔,fk
㨕,fm
㨖,fw
㨗,fz
㨘,fo
㨙,fd
㨚,fo
㨛,fr
㨜,fw
㨝,fo
㨞,fx
㨟,fb
㨠,fl
㨡,fu
㨢,fb
㨣,fx
㨤,fv
㨥,fn
㨦,fy
㨧,ft
㨨,ft
㨩,fw
㨪,fg
㨫,fm
㨬,fy
㨭,fb
㨮,fe
㨯,fe
㨰,fg
㨱,fk
㨲,fa
㨳,fk
㨴,fv
㨵,fd
㨶,fn
㨷,fw
㨸,fu
㨹,fe
㨺,fr
㨻,iu
㨼,tu
㨽,fd
㨾,fy
㨿,fj
㩀,fd
㩁,fv
㩂,fd
㩃,fd
㩄,fx
㩅,ft
㩆,fy
㩇,fa
㩈,fk
㩉,fx
㩊,fs
㩋,fa
㩌,fb
㩍,fu
㩎,fq
㩏,fh
㩐,fc
㩑,ff
㩒,fu
㩓,ju
㩔,fu
㩕,fs
㩖,fj
㩗,fn
㩘,fw
㩙,ft
㩚,fu
㩛,fc
㩜,fm
㩝,fu
㩞,fa
㩟,fa
㩠,fh
㩡,fu
㩢,fd
㩣,fi
㩤,fw
㩥,fj
㩦,fk
㩧,fu
㩨,fx
㩩,fy
㩪,fy
㩫,fb
㩬,fg
㩭,fz
㩮,fu
㩯,fx
㩰,fa
㩱,fc
㩲,fv
㩳,fy
㩴,fv
㩵,fq
㩶,fb
㩷,fm
㩸,fh
㩹,fq
㩺,bv
㩻,dv
㩼,xv
㩽,uv
㩾,qv
㩿,pw
㪀,yw
㪁,ry
㪂,qy
㪃,ky
㪄,fw
㪅,by
㪆,uy
㪇,nw
㪈,ty
㪉,rw
㪊,yy
㪋,oy
㪌,sy
㪍,uw
㪎,dy
㪏,py
㪐,hy
㪑,dy
㪒,jy
㪓,qy
㪔,ay
㪕,by
㪖,ey
㪗,ly
㪘,rw
㪙,gw
㪚,co
㪛,cy
㪜,uy
㪝,jy
㪞,oy
㪟,ww
㪠,jy
㪡,by
㪢,jy
㪣,ww
㪤,tw
㪥,hy
㪦,bw
㪧,ry
㪨,yy
㪩,yy
㪪,ty
㪫,by
㪬,xy
㪭,hy
㪮,yy
㪯,wf
㪰,wm
㪱,wr
㪲,dv
㪴,yd
㪵,bd
㪶,bd
㪷,dd
㪸,cd
㪹,ud
㪺,dd
㪻,xd
㪼,kt
㪽,at
㪾,wt
㪿,ct
㫀,ot
㫁,vt
㫂,gt
㫃,fr
㫄,ef
㫅,fw
㫆,fx
㫇,fv
㫉,fv
㫊,fk
㫋,fr
㫌,fv
㫍,fw
㫎,fi
㫏,fn
㫐,ob
㫑,ol
㫒,oc
㫓,ov
㫔,ou
㫕,ow
㫖,uo
㫗,oz
㫘,bo
㫙,of
㫚,wo
㫛,ox
㫜,od
㫝,ou
㫞,oy
㫟,ok
㫠,ob
㫡,od
㫢,oq
㫣,od
㫤,oy
㫥,ok
㫦,ro
㫧,om
㫨,on
㫩,uo
㫪,io
㫫,oy
㫬,oo
㫭,oc
㫮,vo
㫯,ow
㫰,ol
㫱,oi
㫲,oz
㫳,io
㫴,oz
㫵,of
㫶,oj
㫷,co
㫸,oz
㫹,ot
㫺,ro
㫻,oc
㫼,od
㫽,ou
㫾,ok
㫿,ov
㬀,oz
㬁,ok
㬂,od
㬃,oh
㬄,oi
㬅,ow
㬆,oo
㬇,or
㬈,om
㬉,od
㬊,oy
㬋,ou
㬌,ox
㬍,oc
㬎,oh
㬏,og
㬐,oo
㬑,oe
㬒,oc
㬓,ou
㬔,op
㬕,oy
㬖,ok
㬗,oh
㬘,oa
㬙,ow
㬚,ow
㬛,ox
㬜,go
㬝,oo
㬞,or
㬟,wo
㬠,oh
㬡,os
㬢,ow
㬣,oc
㬤,oh
㬥,om
㬦,oy
㬧,ox
㬨,oi
㬩,ox
㬪,oh
㬫,co
㬬,ov
㬭,oc
㬮,ov
㬯,oy
㬰,yr
㬱,no
㬲,gm
㬳,ow
㬴,og
㬵,of
㬶,ok
㬷,oa
㬸,ob
㬹,oy
㬺,oj
㬻,oi
㬼,uw
㬽,ok
㬾,ko
㬿,ow
㭀,or
㭁,an
㭂,ax
㭃,ay
㭄,au
㭅,as
㭆,nw
㭇,ay
㭈,ag
㭉,ca
㭊,ap
㭋,af
㭌,an
㭍,da
㭎,ax
㭏,aw
㭐,dw
㭑,aw
㭒,al
㭓,ac
㭔,ah
㭕,aq
㭖,ag
㭗,am
㭘,ak
㭙,ac
㭚,ay
㭛,ay
㭜,au
㭝,aj
㭞,al
㭟,ga
㭠,ae
㭡,ax
㭢,ad
㭣,ak
㭤,an
㭥,ab
㭦,aq
㭧,va
㭨,ae
㭩,ac
㭪,af
㭫,ar
㭬,au
㭭,ad
㭮,ad
㭯,av
㭰,vu
㭱,aj
㭲,ag
㭳,az
㭴,at
㭵,at
㭶,af
㭷,al
㭸,at
㭹,ax
㭺,ad
㭻,ak
㭼,ao
㭽,au
㭾,ai
㭿,ae
㮀,au
㮁,ao
㮂,oa
㮃,an
㮄,af
㮅,av
㮆,ay
㮇,ax
㮈,au
㮉,aj
㮊,aa
㮋,ae
㮌,am
㮍,ba
㮎,am
㮏,au
㮐,ao
㮑,aj
㮒,at
㮓,ah
㮔,av
㮕,ad
㮖,au
㮗,ma
㮘,aw
㮙,ak
㮚,ba
㮛,az
㮜,at
㮝,ae
㮞,ak
㮟,aa
㮠,aa
㮡,ha
㮢,au
㮣,ga
㮤,ba
㮥,at
㮦,ax
㮧,ah
㮨,aw
㮩,ax
㮪,aa
㮫,ak
㮬,ax
㮭,ag
㮮,au
㮯,au
㮰,ab
㮱,ae
㮲,ac
㮳,at
㮴,ay
㮵,ad
㮶,ao
㮷,ao
㮸,at
㮹,aw
㮺,bk
㮻,ai
㮼,ax
㮽,au
㮾,la
㮿,af
㯀,az
㯁,ak
㯂,aj
㯃,au
㯄,ab
㯅,au
㯆,au
㯇,at
㯈,au
㯉,ah
㯊,ah
㯋,ba
㯌,au
㯍,ac
㯎,aa
㯏,ta
㯐,ea
㯑,ai
㯒,aj
㯓,ax
㯔,ma
㯕,at
㯖,ax
㯗,aa
㯘,aq
㯙,aw
㯚,ak
㯛,ay
㯜,au
㯝,ak
㯞,ao
㯟,au
㯠,an
㯡,ab
㯢,ag
㯣,aa
㯤,ll
㯥,dd
㯦,aa
㯧,ak
㯨,am
㯩,yy
㯪,as
㯫,au
㯬,ay
㯭,al
㯮,ai
