tái fēng dá wéi	颱風達維
tái fēng lán hú	颱風藍湖
tái fēng pà kǎ	颱風帕卡
tái fēng pí pa	颱風琵琶
tái fēng pí lù	颱風琵鷺
tái fēng pǔ lā sāng	颱風普拉桑
tái fēng nī yà tú	颱風妮亞圖
tái fēng shā dé ěr	颱風沙德爾
tái fēng shā bù ěr	颱風沙布爾
tái fēng huà jiā shā	颱風樺加沙
tái fēng zǐ tán	颱風紫檀
tái fēng ā mù qiū	颱風阿穆丘
tái fēng nà ní	颱風娜尼
tái fēng jiǎn lā wéi	颱風簡拉維
tái fēng gǔ shā lì	颱風古莎莉
tái fēng bù lǐ	颱風布裏
tái fēng bù lā pà	颱風布拉帕
tái fēng bó luó yī	颱風博羅依
tái fēng ài shā ní	颱風艾莎尼
tái fēng bǎi lǐ jiā	颱風百里嘉
tái fēng mài dé mǔ	颱風麥德姆
tái fēng ài lì	颱風艾利
tái fēng lán ēn	颱風蘭恩
tái fēng huā bān	颱風花斑
tái fēng bān lǎng	颱風班朗
tái fēng hǎi xīng	颱風海星
tái fēng hàn wén	颱風翰文
tái fēng mò lā kè	颱風莫拉克
tái fēng shā lì jiā	颱風莎莉嘉
tái fēng kù dōu	颱風庫都
tái fēng tiān gē	颱風天鴿
tái fēng chá tè ān	颱風查特安
tái fēng qǐ dé	颱風啟德
tái fēng yī bù dōu	颱風伊布都
tái fēng mò lā fēi	颱風莫拉菲
tái fēng tiān chèng	颱風天秤
tái fēng lù shā	颱風鹿莎
tái fēng shān zhú	颱風山竹
tái fēng shān tuó ér	颱風山陀兒
tái fēng huà méi	颱風畫眉
tái fēng wēn bǐ yà	颱風溫比亞
tái fēng míng chán	颱風鳴蟬
tái fēng cǎi hóng	颱風彩虹
tái fēng fǎ qiàn	颱風法茜
tái fēng fèng xiān	颱風鳳仙
tái fēng hǎi bèi sī	颱風海貝思
tái fēng yún nà	颱風雲娜
tái fēng fán yà bǐ	颱風凡亞比
tái fēng běi miǎn	颱風北冕
tái fēng sū tè	颱風蘇特
tái fēng lì qí mǎ	颱風利奇馬
tái fēng tíng tíng	颱風婷婷
tái fēng bā péng	颱風巴蓬
tái fēng xīn xīn	颱風欣欣
tái fēng yù tù	颱風玉兔
tái fēng lóng wáng	颱風龍王
tái fēng hǎi kuí	颱風海葵
tái fēng tiān é	颱風天鵝
tái fēng mài shā	颱風麥莎
tái fēng lián huā	颱風蓮花
tái fēng cǎi dié	颱風彩蝶
tái fēng dù sū ruì	颱風杜蘇芮
tái fēng bì lì sī	颱風碧利斯
tái fēng huán gāo	颱風環高
tái fēng zhēn zhū	颱風珍珠
tái fēng huáng fēng	颱風黃蜂
tái fēng liú lián	颱風榴蓮
tái fēng kāng sēn	颱風康森
tái fēng sāng měi	颱風桑美
tái fēng xuān lán nuò	颱風軒嵐諾
tái fēng xiàng shén	颱風象神
tái fēng yuán guī	颱風圓規
tái fēng kǎi sà nà	颱風凱薩娜
tái fēng mǎ ān	颱風馬鞍
tái fēng mǎ lè kǎ	颱風馬勒卡
tái fēng bā mǎ	颱風芭瑪
tái fēng nián yú	颱風鮎魚
tái fēng léi yī	颱風雷伊
tái fēng ní gé	颱風尼格
tái fēng tiān yīng	颱風天鷹
tái fēng ào lù	颱風奧鹿
tái fēng bǎo xiá	颱風寶霞
tái fēng fēi tè	颱風菲特
tái fēng hǎi yàn	颱風海燕
tái fēng qīng sōng	颱風清松
tái fēng sū lā	颱風蘇拉
tái fēng yóu tè	颱風尤特
tái fēng ài yún ní	颱風艾雲尼
tái fēng wéi sēn tè	颱風韋森特
tái fēng fēi yàn	颱風飛燕
tái fēng wēi mǎ xùn	颱風威馬遜
tái fēng kāng nī	颱風康妮
tái fēng jù jué	颱風巨爵
tái fēng mò lì	颱風茉莉
tái fēng wàn yí	颱風萬宜
tái fēng táo zhī	颱風桃芝
tái fēng sū dí luó	颱風蘇迪羅
tái fēng tán měi	颱風潭美
tái fēng hǎi mǎ	颱風海馬
tái fēng tiān tù	颱風天兔
tái fēng mò lán dì	颱風莫蘭蒂
tái fēng mó jié	颱風摩羯
tái fēng luò tǎn	颱風洛坦
