ā bà	阿壩
xiàn xiàn	獻縣
xiāng dū	襄都
xiāng xī	湘西
xiāo cūn	肖村
xiāo xiàn	蕭縣
xiè cūn	謝村
xiè gǎng	謝崗
xiè qiáo	謝橋
xīn fǔ	新撫
xīn hé	新和
xīn pí	新埤
xīn qiū	新邱
xīn wú	新吳
xīn xiàn	新縣
xīn zhèn	新鎮
xīng bīn	興賓
xīng hé	興和
xīng xiàn	興縣
xīng zhèn	興鎮
xiōng lín	芎林
xióng xiàn	雄縣
xǔ cūn	許村
xú cūn	徐村
xǔ dōu	許都
xú huì	徐匯
xú tún	徐屯
xǔ xiàn	許縣
xú zhōu	徐州
xǔ zhōu	許州
xú zhuāng	徐莊
xǔ zhuāng	許莊
xuē chéng	薛城
xuē cūn	薛村
xuē diàn	薛店
xuē gǎng	薛崗
xuē hé	薛河
xuě xiāng	雪鄉
xuē zhèn	薛鎮
xùn xiàn	浚縣
yán chǎng	鹽場
yán chéng	鹽埕
yán cūn	閆村
yán cūn	閻村
yán dǎo	嚴島
yán liáng	閻良
yáng cūn	楊村
yáng fǔ	楊府
yáng hé	楊河
yáng jī	楊箕
yáng líng	楊陵
yáng pǔ	楊浦
yáng qiáo	楊橋
yáng xiàn	洋縣
yáng zhái	楊宅
yáng zhèn	楊鎮
yáng zhuāng	楊莊
yáo ān	姚安
yáo bǎo	姚堡
yáo cūn	姚村
yáo dū	堯都
yáo jiāng	姚江
yáo zhōu	姚州
yáo zhuāng	姚莊
yè chéng	葉城
yè cūn	葉村
yè jí	葉集
yè píng	葉坪
yè shān	葉山
yè xiàn	葉縣
yè xiè	葉榭
yī xiàn	黟縣
yì xiàn	易縣
yì xiàn	義縣
yì zhú	義竹
yīng xiàn	應縣
yǒng lè	永樂
yǒng qiáo	埇橋
yǒng xīng	永興
yóu xī	尤溪
yōu xiàn	攸縣
yú gàn	餘干
yú háng	余杭
yú huái	余淮
yú jiāng	餘江
yù lín	鬱林
yù nán	鬱南
yù xiàn	蔚縣
yú xiàn	盂縣
yú yáo	余姚
yuán hé	袁河
yuán shān	員山
yuán zhōu	袁州
yuè táng	嶽塘
yún xiàn	雲縣
zēng dū	曾都
zhāng běi	張北
zhāng diàn	張店
zhāng qiáo	張橋
zhāng tái	張台
zhāng xiàn	漳縣
zhāng yè	張掖
zhāng zhèn	張鎮
zhāng zhuāng	張莊
zhào cūn	趙村
zhào xiàn	趙縣
zhào zhèn	趙鎮
zhào zhōu	趙州
zhào zhuāng	趙莊
zhēn jiāng	湞江
zhèn yuán	鎮沅
zhèng tún	鄭屯
zhèng zhōu	鄭州
zhōng bù	中埔
zhōng cūn	鐘村
zhōng liáo	中寮
zhōng shān	鍾山
zhōng tǎ	鐘塔
zhōng wú	鍾吾
zhōng xiàn	忠縣
zhōng xiáng	鍾祥
zhōu cūn	周村
zhōu hé	周河
zhōu kǒu	周口
zhōu pǔ	周浦
zhōu shān	周山
zhōu zhái	周宅
zhōu zhì	周至
zhōu zhuāng	周莊
zhū bā	朱巴
zhū cūn	朱村
zhū diàn	朱店
zhū hé	朱河
zhū pō	朱坡
zhū zhuāng	朱莊
zhuāng làng	莊浪
zhuāng qiáo	莊橋
zhuāng zhèn	莊鎮
zǐ cháng	子長
zī zhèn	滋鎮
zōu chéng	鄒城
zōu píng	鄒平
zōu xiàn	鄒縣
zuǒ zhèn	左鎮
ā bà xiàn	阿壩縣
ā bà zhèn	阿壩鎮
ā běi xiāng	阿北鄉
ā chá zhèn	阿察鎮
ā chéng qū	阿城區
ā chéng xiàn	阿城縣
ā chéng zhèn	阿城鎮
ā dǎng zhèn	阿黨鎮
ā dōu xiāng	阿都鄉
ā duō xiāng	阿多鄉
ā gàn zhèn	阿幹鎮
ā gǎng zhèn	阿崗鎮
ā gé xiāng	阿格鄉
ā gōng zhèn	阿弓鎮
ā hú xiāng	阿湖鄉
ā hú zhèn	阿湖鎮
ā jí zhèn	阿吉鎮
ā jiá zhèn	阿戛鎮
ā kè sāi	阿克塞
ā lā xiāng	阿拉鄉
ā lǎng xiāng	阿朗鄉
ā lián qū	阿蓮區
ā měng zhèn	阿猛鎮
ā mù xiāng	阿木鄉
ā qī zhèn	阿七鎮
ā qiāng xiāng	阿羌鄉
ā qiāng zhèn	阿羌鎮
ā róng qí	阿榮旗
ā róu xiāng	阿柔鄉
ā suǒ xiāng	阿索鄉
ā wàng xiāng	阿旺鄉
ā wàng zhèn	阿旺鎮
ā wù zhèn	阿塢鎮
ā xī zhèn	阿西鎮
ā xià xiāng	阿夏鄉
ā xiù xiāng	阿秀鄉
ā xū zhèn	阿須鎮
ā yòng xiāng	阿用鄉
ā zhā xiāng	阿扎鄉
ā zhā zhèn	阿扎鎮
ā zhuāng zhèn	阿莊鎮
ā zī xiāng	阿孜鄉
ài chéng zhèn	艾城鎮
ài diàn zhèn	愛店鎮
ài dòng zhèn	隘洞鎮
ài gǎng xiāng	艾崗鄉
ài hé zhàn	愛河站
ài huá zhèn	愛華鎮
ài huī qū	愛輝區
ài huī xiàn	愛輝縣
ài huī zhèn	璦琿鎮
ài jiā xiāng	愛家鄉
ài jiā zhèn	艾家鎮
ài kǒu xiāng	隘口鄉
ài kǒu zhèn	隘口鎮
ài mǎ xiāng	艾瑪鄉
ài mín qū	愛民區
ài mín xiāng	愛民鄉
ài nóng xiāng	愛農鄉
ài tíng zhèn	艾亭鎮
āi xī xiāng	埃西鄉
ài yáng zhèn	愛陽鎮
ài yè zhèn	艾葉鎮
ài yuàn xiàn	愛媛縣
ài yuán zhèn	愛園鎮
ǎi zhài zhèn	矮寨鎮
ài zhī xiàn	愛知縣
ài zǐ zhèn	隘子鎮
àn bǎn zhèn	按板鎮
ān bāng xiāng	安邦鄉
ān běi xiāng	安北鄉
ān biān zhèn	安邊鎮
ān bù zhèn	庵埠鎮
ān chǎng zhèn	安場鎮
ān chéng zhèn	安成鎮
ān chéng zhèn	安城鎮
ān chōng xiāng	安衝鄉
ān chuí xiāng	安陲鄉
ān cì qū	安次區
ān cūn zhèn	安村鎮
ān dá shì	安達市
ān dá xiàn	安達縣
ān dá zhàn	安達站
ān dá zhèn	安達鎮
ān dé xiàn	安德縣
ān dé zhàn	安德站
ān dé zhèn	安德鎮
ān dì zhèn	安地鎮
àn dī zhèn	岸堤鎮
ān dǐ zhèn	安底鎮
ān dìng qū	安定區
ān dìng xiàn	安定縣
ān dìng zhàn	安定站
ān dìng zhèn	安定鎮
ān dōng xiāng	安東鄉
ān dōng zhèn	庵東鎮
ān dōu xiāng	安都鄉
ān dòu xiāng	安鬥鄉
ān dūn zhèn	安墩鎮
ān duō xiàn	安多縣
ān fēng xiāng	安豐鄉
ān fēng zhèn	安峯鎮
ān fēng zhèn	安豐鎮
ān fú xiàn	安福縣
ān fú xiāng	安福鄉
ān fú zhèn	安福鎮
ān fú zhèn	安伏鎮
ān gāo zhèn	安皋鎮
ān gōu zhèn	安溝鎮
ān gǔ xiāng	安谷鄉
ān gǔ zhèn	安谷鎮
ān guǎng zhèn	安廣鎮
ān guó shì	安國市
ān guó xiàn	安國縣
ān guó zhàn	安國站
ān guó zhèn	安國鎮
ān hā zhèn	安哈鎮
ān hǎi zhèn	安海鎮
ān hé xiāng	安和鄉
ān hé zhèn	安和鎮
ān hóng xiāng	安宏鄉
ān hòu zhèn	安厚鎮
ān huà xiàn	安化縣
ān huà xiāng	安化鄉
ān huá zhèn	安華鎮
ān huà zhèn	安化鎮
ān huái zhèn	安懷鎮
ān huī zhàn	安徽站
ān jí xiàn	安吉縣
ān jí xiāng	安吉鄉
ān jí zhàn	安吉站
ān jí zhèn	安集鎮
ān jiā xiāng	安家鄉
ān jiā zhèn	安家鎮
ān jiàng zhèn	鞍匠鎮
ān jiāng zhèn	安江鎮
ān jié xiāng	庵傑鄉
ān jìng xiāng	安靖鄉
ān jìng zhàn	安靖站
ān jū qū	安居區
ān jū zhèn	安居鎮
ān kǎi xiāng	安凱鄉
ān kāng xiàn	安康縣
ān kāng xiāng	安康鄉
ān kāng zhàn	安康站
ǎn kǒu xiāng	垵口鄉
ān kǒu zhèn	安口鎮
ān lán zhèn	安瀾鎮
ān lè qū	安樂區
ān lè xiāng	安樂鄉
ān lè zhèn	安樂鎮
ān lǐ zhèn	安裏鎮
ān liáng zhèn	安良鎮
ān lǐng xiāng	安嶺鄉
ān líng zhèn	安陵鎮
ān líng zhèn	安凌鎮
ān lǐng zhèn	安嶺鎮
ān liú zhèn	安流鎮
àn liú zhèn	暗流鎮
ān lóng xiàn	安龍縣
ān lù shì	安陸市
ān lù xiàn	安陸縣
ān mǎ xiāng	安馬鄉
ān mín xiāng	安民鄉
ān mín zhèn	安民鎮
ān nán qū	安南區
ān nán xiāng	安南鄉
ān níng bǎo	安寧堡
ān níng qū	安寧區
ān níng shì	安寧市
ān níng xiàn	安寧縣
ān níng xiāng	安寧鄉
ān níng zhèn	安寧鎮
ān péng zhèn	安棚鎮
ān píng qū	安平區
ān píng xiàn	安平縣
ān píng xiāng	安平鄉
ān píng zhàn	安平站
ān píng zhèn	安平鎮
ān píng zhèn	安坪鎮
ān pù zhèn	安鋪鎮
ān qiāng zhèn	安羌鎮
ān qìng zhàn	安慶站
ān qìng zhèn	安慶鎮
ān qiū shì	安丘市
ān qiū xiàn	安丘縣
ān qǔ zhèn	安曲鎮
ān quán xiāng	安全鄉
ān rào zhèn	安繞鎮
ān rén xiàn	安仁縣
ān rén xiāng	安仁鄉
ān rén zhàn	安仁站
ān rén zhèn	安仁鎮
ān róng xiāng	安榮鄉
ān sài qū	安塞區
ān sài xiàn	安塞縣
ān shā zhèn	安砂鎮
ān shā zhèn	安沙鎮
ān shān xiāng	安山鄉
ān shān zhàn	鞍山站
ān shān zhèn	安山鎮
ān shèng zhèn	安勝鎮
ān shí zhàn	安石站
ān shí zhèn	安石鎮
ān shù zhèn	安恕鎮
ān shùn xiàn	安順縣
ān sù zhèn	安肅鎮
ān tài bǎo	安太堡
ān tài xiāng	安太鄉
ān táng xiāng	安塘鄉
ān tíng zhàn	安亭站
ān tíng zhèn	安亭鎮
ān tóu xiāng	安頭鄉
ān tú xiàn	安圖縣
ān tún zhèn	安屯鎮
ān wěn zhèn	安穩鎮
ān wú zhèn	安吳鎮
ān xī xiàn	安溪縣
ān xǐ xiàn	安喜縣
ān xī xiàn	安西縣
ān xī zhàn	安西站
ān xī zhèn	安西鎮
ān xī zhèn	安溪鎮
ān xiāng xiàn	安鄉縣
ān xiāng xiāng	安香鄉
ān xīn xiàn	安新縣
ān xīn zhèn	安新鎮
ān xīng zhèn	安興鎮
ān yáng xiàn	安陽縣
ān yáng xiāng	安陽鄉
ān yáng zhèn	安陽鎮
ān yè xiāng	安業鄉
ān yì xiàn	安義縣
ān yí zhèn	安宜鎮
àn yǐng bǎo	暗影堡
ān yù zhèn	安峪鎮
ān yuán qū	安源區
ān yuǎn xiàn	安遠縣
ān yuǎn zhèn	安遠鎮
ān yuán zhèn	安源鎮
ān yuè xiàn	安岳縣
ān yún xiāng	安雲鄉
ān zé xiàn	安澤縣
ān zhài zhèn	安寨鎮
ān zhàng xiāng	安障鄉
ān zhēn bǎo	安貞堡
ān zhōu qū	安州區
ān zhōu zhèn	安州鎮
ān zhuāng zhèn	安莊鎮
ān zī xiāng	安孜鄉
ān zì zhèn	安字鎮
ān zi zhèn	鞍子鎮
áng duō xiāng	昂多鄉
áng lā xiāng	昂拉鄉
áng lái zhàn	昂萊站
áng rén xiàn	昂仁縣
áng sài xiāng	昂賽鄉
áng sù zhèn	昂素鎮
áng wǔ zhèn	昂武鎮
áo chéng zhèn	敖城鎮
ào fēn bǎo	奧芬堡
áo hàn qí	敖漢旗
áo jiāng zhèn	鰲江鎮
áo jiāng zhèn	敖江鎮
ào lún bǎo	奧倫堡
ào mén zhàn	澳門站
ào nán xiāng	坳南鄉
áo píng zhèn	敖平鎮
áo qí zhèn	敖其鎮
áo quán zhèn	敖泉鎮
áo shān zhèn	敖山鎮
ào shàng zhèn	坳上鎮
áo shí xiāng	鰲石鄉
áo shì zhèn	敖市鎮
ào sī bǎo	奧斯堡
áo tóu zhèn	鰲頭鎮
áo xī zhèn	鰲溪鎮
áo xī zhèn	敖溪鎮
áo yáng zhèn	鰲陽鎮
ào yùn zhàn	奧運站
ào zǎi zhèn	坳仔鎮
ào zhōu zhàn	澳洲站
bā bāng xiāng	八幫鄉
bā bǎo xiāng	八堡鄉
bā bǎo zhèn	八寶鎮
bā bié xiāng	巴別鄉
bā bù qū	八步區
bā bù xiāng	八布鄉
bā bù zhèn	八步鎮
bā cáng zhèn	巴藏鎮
bā chà xiāng	八岔鄉
bà chéng xiàn	霸城縣
bā chéng zhèn	巴城鎮
bā chǐ zhèn	八尺鎮
bā chóu xiāng	巴疇鄉
bā chǔ xiàn	巴楚縣
bā chǔ zhèn	巴楚鎮
bā cūn zhèn	巴村鎮
bā dá xiāng	巴達鄉
bā dá zhèn	八達鎮
bā dān xiāng	八丹鄉
bā dé qū	八德區
bà dǐ xiāng	壩底鄉
bā dí xiāng	巴迪鄉
bā dǐ zhèn	巴底鎮
bā dīng xiàn	巴丁縣
bā dīng zhàn	八丁站
bā dōng xiàn	巴東縣
bā dòng zhèn	八洞鎮
bā dòng zhèn	巴洞鎮
bā dōu zhèn	八都鎮
bā dǒu zhèn	八斗鎮
bā dǒu zhèn	八陡鎮
bā dù xiāng	八渡鄉
bā dù zhèn	八渡鎮
bā ěr zhèn	八耳鎮
bā fú zhèn	巴福鎮
bā gā xiāng	八嘎鄉
bā gā xiāng	巴嘎鄉
bā gài xiāng	八蓋鄉
bā gān xiàn	巴甘縣
bā gàn xiāng	巴幹鄉
bā gǎng zhèn	八崗鎮
bā gōng zhèn	巴公鎮
bá gòng zhèn	拔貢鎮
bā gōng zhèn	八弓鎮
bā gōu xiāng	巴溝鄉
bā gōu zhèn	芭溝鎮
bā gū xiāng	巴姑鄉
bā hào zhèn	八號鎮
