zì jǐ dǎ de	自己打的
huán bù wán	还不完
tà hé	漯河
chóng kè	重刻
ke ke	咳咳
biān ji	编辑
bō zhòng	播种
mì yuè	密钥
táng shǎi	糖色
yòu děi	又得
bì guò	拂过
zhān zhe	粘着
dàng shí	当时
dàng rì	当日
dàng nián	当年
dàng tóu	当头
tiě qí	铁骑
diàn juàn	垫圈
dài huáng	大黄
tiáo tiáo	调调
míng zhāo	明朝
mò rù	没入
shuō kè	说客
gāo zhòng	高中
gāo zhōng le	高中了
zhèng zhōng le	正中了
mò rù le	没入了
qiǎ zài	卡在
qiǎ zài le	卡在了
shuì zhe jiào	睡着觉
tā kǎ zài	他卡在
wǒ kǎ zài	我卡在
huán bù huán	还不还
tēi guò yǐn	忒过瘾
tēi hǎo chī	忒好吃
tēi hǎo kàn	忒好看
tēi hǎo le	忒好了
tēi kàn de	忒看的
tēi kě ài	忒可爱
tēi kuài le	忒快了
tēi lěng le	忒冷了
tēi má fán	忒麻烦
tēi màn le	忒慢了
tēi měi le	忒美了
tēi nán kàn	忒难看
tēi niú bī	忒牛逼
tēi pián yi	忒便宜
tēi qiáng le	忒强了
tēi shǎo le	忒少了
tēi tián le	忒甜了
tēi xǐ huān	忒喜欢
tēi xià rén	忒吓人
tēi xiǎo le	忒小了
tēi yǒu cái	忒有才
tēi zǎo le	忒早了
tēi zhǎng le	忒长了
méi luò dào	没落到
mò luò de	没落地
xuè zhài xiě huán	血债血还
xuè zhài xiě cháng	血债血偿
nán xiōng nàn dì	难兄难弟
qiǎ zài nà lǐ	卡在那里
qiǎ zài nǎ lǐ	卡在哪里
jiù qiǎ zài nà lǐ le	就卡在那里了
ài zháo nín le	碍着您了
tēi ǎi le ba	忒矮了吧
tēi bái le ba	忒白了吧
tēi báo le ba	忒薄了吧
tēi bù fāng biàn	忒不方便
tēi bù gěi lì	忒不给力
tēi bù hǎo kàn	忒不好看
tēi bù hǎo zǒu	忒不好走
tēi bù jiǎng jiu	忒不讲究
tēi bú kào pǔ	忒不靠谱
tēi bù róng yì	忒不容易
tēi bú shì rén	忒不是人
tēi bù tīng huà	忒不听话
tēi bù xǐ huān	忒不喜欢
tēi bú yào liǎn	忒不要脸
tēi chǒu le ba	忒丑了吧
tēi cháng le ba	忒长了吧
tēi dà le ba	忒大了吧
tēi duǎn le ba	忒短了吧
tēi duì bù qǐ	忒对不起
tēi duō le ba	忒多了吧
tēi gāo le ba	忒高了吧
tēi guì le ba	忒贵了吧
tēi hǎo le ba	忒好了吧
tēi hēi le ba	忒黑了吧
tēi hēi le diǎn	忒黑了点
tēi hóng le ba	忒红了吧
tēi hòu le ba	忒厚了吧
tēi huài le ba	忒坏了吧
tēi huáng le ba	忒黄了吧
tēi jiàn le ba	忒贱了吧
tēi jìn le ba	忒近了吧
tēi jiù le ba	忒旧了吧
tēi kǔ le ba	忒苦了吧
tēi kuān le ba	忒宽了吧
tēi lǎn le ba	忒懒了吧
tēi lán le ba	忒蓝了吧
tēi làng màn le	忒浪漫了
tēi lěng le ba	忒冷了吧
tēi lì hai le	忒厉害了
tēi lǜ le ba	忒绿了吧
tēi méi chū xī	忒没出息
tēi měi le ba	忒美了吧
tēi méi yì sī	忒没意思
tēi mù lè gē	忒木勒哥
tēi pián yi le	忒便宜了
tēi qiǎn le ba	忒浅了吧
tēi qiáng le ba	忒强了吧
tēi qīng le ba	忒轻了吧
tēi ruǎn le ba	忒软了吧
tēi ruò le ba	忒弱了吧
tēi shǎo le ba	忒少了吧
tēi shēn le ba	忒深了吧
tēi tā mā de	忒他妈的
tēi tián le ba	忒甜了吧
tēi xiǎo le ba	忒小了吧
tēi xīn le ba	忒新了吧
tēi yìng le ba	忒硬了吧
tēi yǒu yì sī	忒有意思
tēi yuǎn le ba	忒远了吧
tēi zāng le ba	忒脏了吧
tēi zhǎi le ba	忒窄了吧
tēi zhǎng le ba	忒长了吧
tēi zhòng le ba	忒重了吧
méi shōu	没收
pù shài	暴晒
dài wang	大王
jiāo huì	教会
ài jiāo	爱教
bù jiāo	不教
huí diào	回调
huí diào hán shù	回调函数
jiē guǒ	结果
kàn bù le	看不了
qiǎ zhù	卡住
shuì zhe	睡着
mò dì	没地
bàn bù le	办不了
bào bù le	报不了
ruǎn tán	软弹
lù chū	露出
zhēng zhēng	丁丁
méi kàn zháo	没看着
xià bù liǎo	下不了
yǒu duō chóng	有多重
duō zhòng	多重
bù gān	不干
dà fū	大夫
bó mó	薄膜
mò guò le	没过了
mò guò wǒ	没过我
mò guò xiàn	没过线
mò guò	没过
mó suō	摩挲
gōng chā	公差
hào gāo	好高
hào qiáng	好强
cuán gè	攒个
zǎn gè	攒个
bēi zhe	背着
wài chuán	外传
cháng diǎn ér	长点儿
zhǎng diǎn ér	长点儿
yǒu de háng	有的行
jiù děi dào	就得到
jiù dé dào	就得到
tiáo huí lái	调回来
tiáo huí le	调回了
tiáo huí qù	调回去
cháng le	长了
āi lè	哀乐
zhá guō	炸锅
tiáo huí	调回
diào sè	掉色
diào shǎi	掉色
dà fang	大方
luò tuò	落魄
luò bó	落魄
chén diān diān	沉甸甸
chén diàn diàn	沉甸甸
rè téng téng	热腾腾
rè tēng tēng	热腾腾
dà yé	大爷
xiōng di	兄弟
gū fù	姑父
nǚ xù	女婿
zhāo yáng	朝阳
cháo yáng	朝阳
dān xíng	单行
dān háng	单行
chuàn xíng	串行
chuàn háng	串行
tóng háng	同行
tóng xíng	同行
duō xíng	多行
duō háng	多行
bù liǎo liǎo	不了了
bù liǎo le	不了了
chuáng zì páng	爿字旁
pán zì páng	爿字旁
dù zi	肚子
dǔ zi	肚子
là le	落了
luò le	落了
pò xiáng	迫降
pò jiàng	迫降
jiān jiān	浅浅
qiǎn qiǎn	浅浅
bù liǎo	不了
bù le	不了
zhuó rén	着人
xián zhāo	闲着
zuó mo	琢磨
zhuó mó	琢磨
xiàn zhǎng	线长
kān hǎo	看好
kān zhe	看着
hào zhè kǒu	好这口
hào zhèi kǒu	好这口
bù dé	不得
bù děi	不得
tiáo duì le	调对了
diào duì le	调对了
zhuàn lái zhuàn qù	转来转去
zhuǎn lái zhuǎn qù	转来转去
dé liǎo	得了
dé le	得了
yíng de liǎo	赢得了
de shì	得是
děi shì	得是
huán huí	还回
hái huí	还回
kān hǎo tā	看好他
kàn hǎo tā	看好他
shēn cáng bú lòu	深藏不露
huán huí qù ba	还回去吧
hái huí qù ba	还回去吧
huán huí qù ma	还回去吗
hái huí qù ma	还回去吗
hái huí lái ma	还回来吗
huán huí lái ma	还回来吗
huán huí lái le	还回来了
hái huí lái le	还回来了
huán huí lái a	还回来啊
hái huí lái a	还回来啊
huán huí lái ba	还回来吧
hái huí lái ba	还回来吧
huán huí qù	还回去
hái huí qù	还回去
huán huí lái	还回来
hái huí lái	还回来
hái gěi nà	还给那
hái gěi nǐ	还给你
hái gěi shuí	还给谁
hái gěi tā	还给他
hái gěi tā	还给她
hái gěi wǒ	还给我
hái gěi zhè	还给这
nǐ hái gěi	你还给
tā hái gěi	他还给
wǒ hái gěi	我还给
hái gěi nǐ qián	还给你钱
hái gěi tā guò	还给她过
hái gěi tā men	还给她们
shén me shí hòu huán	什么时候还
xià cì yī dìng huán	下次一定还
huán dū	还都
hái dōu	还都
zhòng zài	重载
chóng zǎi	重载
bà le	罢了
zǒng cháng	总长
zǒng zhǎng	总长
bà liǎo	罢了
bái miào	白庙
biàn yí	便宜
bǔ cháng	不长
bú wèi	不为
bù wéi	不为
bù zhǎng	不长
cháng de	长的
kǎ tán	咳痰
wěi qu	委屈
jīng shen	精神
pò shù	朴树
gān jiāng	干将
cháng bù cháng	长不长
cháng tóu fā	长头发
zhǎng tóu fā	长头发
cháng wěi bā	长尾巴
zhǎng wěi bā	长尾巴
cháng xì wén	长细纹
zhǎng xì wén	长细纹
cháng yǔ máo	长羽毛
zhǎng yǔ máo	长羽毛
qū duì zhǎng	区队长
huì là xià	会落下
là xià le	落下了
tā là xià	他落下
wǒ là xià	我落下
yǐ là xià	已落下
là xià de	落下的
là xià yí gè	落下一个
là xià yí gè rén	落下一个人
bú yào là xià	不要落下
bú yào lào xià	不要落下
là xià de gōng kè	落下的功课
là xià de kè chéng	落下的课程
yǐ jīng là xià le	已经落下了
shéi rèn de	谁认得
gàn shuǎng le	干爽了
yī diǎn	一点
tāng tāng	汤汤
tiē bā	贴吧
zhǎo zhe	找着
zài cháng	再长
háng dào	行道
zhòng dú	重读
yī zhuān	一专
mò dòu fu	磨豆腐
yán sè chā	颜色差
lěng zhan	冷战
dǎ lěng zhan	打冷战
dǎ gè lěng zhàn	打个冷战
dǎ le gè lěng zhan	打了个冷战
chóng huó	重活
chóng tiān	重天
chuān zhuó	穿着
chuān zhe qīng liáng	穿着清凉
gǎn cháng	赶场
diào pèi	调配
gèng wèi	更为
gēng wéi	更为
háng zhǎng	行长
jiàn cháng	见长
jiàn zhǎng	见长
là xià	落下
léi léi	累累
lěi lěi	累累
luò xià	落下
luò xià	落下
lüè cháng	略长
lüè duó	掠夺
lüě duó	掠夺
lüè zhǎng	略长
měi dì	美的
mìng zhōng	命中
mìng zhòng	命中
nián cháng	年长
nián zhǎng	年长
pián yi	便宜
dà dū	大都
shù cì	数次
shuò cì	数次
suí háng	随行
suí xíng	随行
suǒ cháng	所长
suǒ zhǎng	所长
tiáo pèi	调配
tiáo wéi	调为
dōu wéi	都为
wǒ wèi	我为
wǒ wéi	我为
wǔ háng	五行
wǔ xíng	五行
xiāng chèn	相称
xiāng chēng	相称
xiě yùn	血晕
xuè yùn	血晕
yì háng	一行
yí tòng	一通
yì tōng	一通
yì xíng	一行
yuè cháng	越长
yuè zhǎng	越长
zhá yú	炸鱼
zhà yú	炸鱼
xǐ yuè	喜乐
zhǎng de	长的
zhǎng yá	长牙
cháng yá	长牙
cháng yá	长芽
zhòng huó	重活
chóng huó	重活
àn zhèi	按这
bǎ zhèi	把这
bèi zhèi	被这
bǐ zhèi	比这
cóng zhèi	从这
dàn zhèi	但这
dào zhèi	到这
duì zhèi	对这
ér zhèi	而这
fàng zhèi	放这
gàn zhèi	干这
gē zhèi	搁这
gēn zhèi	跟这
guǎn zhèi	管这
jiāng zhèi	将这
jiù zhèi	就这
kàn zhèi	看这
kào zhèi	靠这
lái zhèi	来这
lí zhèi	离这
méi zhèi	没这
nà zhèi	那这
nǐ zhèi	你这
nín zhèi	您这
qiáo zhèi	瞧这
ràng zhèi	让这
sòng zhèi	送这
tā zhèi	他这
tā zhèi	她这
wèi zhèi	为这
wèn zhèi	问这
wǒ zhèi	我这
yòng zhèi	用这
zài zhèi	在这
zán zhèi	咱这
zhào zhèi	照这
zhèi ài	这爱
zhèi bǎ	这把
zhèi bān	这般
zhèi bǎn	这版
zhèi bān	这班
zhèi bàn	这半
zhèi bāng	这帮
zhèi bāo	这包
zhèi bēi	这杯
zhèi běn	这本
zhèi bǐ	这笔
zhèi bǐ	这比
zhèi biān	这边
zhèi biàn	这便
zhèi biǎo	这表
zhèi bìng	这并
zhèi bìng	这病
zhèi bǐng	这饼
zhèi bǐng	这柄
zhèi bō	这波
zhèi bō	这拨
zhèi bù	这部
zhèi bù	这不
zhèi bù	这步
zhèi cái	这才
zhèi cài	这菜
zhèi cān	这餐
zhèi cè	这册
zhèi cè	这侧
zhèi céng	这层
zhèi chá	这茬
zhèi chá	这茶
zhèi chǎng	这场
zhèi chē	这车
zhèi chéng	这城
zhèi chù	这处
zhèi chū	这出
zhèi chuàn	这串
zhèi chuán	这船
zhèi cì	这次
zhèi cí	这词
zhèi cóng	这从
zhèi cūn	这村
zhèi dà	这大
zhèi dài	这代
zhèi dài	这袋
zhèi dān	这单
zhèi dàng	这档
zhèi dào	这道
zhèi dào	这倒
zhèi dào	这到
zhèi dāo	这刀
zhèi dé	这得
zhèi děng	这等
zhèi dēng	这灯
zhèi dì	这地
zhèi diǎn	这点
zhèi diàn	这店
zhèi dié	这碟
zhèi dǐng	这顶
zhèi dòng	这栋
zhèi dōu	这都
zhèi duàn	这段
zhèi duān	这端
zhèi duì	这对
zhèi duī	这堆
zhèi duì	这队
zhèi dùn	这顿
zhèi duō	这多
zhèi duǒ	这朵
zhèi ér	这儿
zhèi fān	这番
zhèi fàn	这饭
zhèi fāng	这方
zhèi fáng	这房
zhèi fèn	这份
zhèi fěn	这粉
zhèi fēng	这封
zhèi fēng	这风
zhèi fú	这幅
zhèi fù	这副
zhèi gāi	这该
zhèi gān	这杆
zhèi ge	这个
zhèi gē	这歌
zhèi gē	这哥
zhèi gěi	这给
zhèi gēn	这跟
zhèi gēn	这根
zhèi gèng	这更
zhèi gǒu	这狗
zhèi gǔ	这股
zhèi guā	这瓜
zhèi guān	这关
zhèi guàn	这罐
zhèi guāng	这光
zhèi guǐ	这鬼
zhèi guō	这锅
zhèi hái	这还
zhèi hǎo	这好
zhèi hào	这号
zhèi hé	这和
zhèi hé	这盒
zhèi hěn	这很
zhèi hù	这户
zhèi hú	这壶
zhèi huà	这话
zhèi huā	这花
zhèi huà	这画
zhèi huì	这会
zhèi huí	这回
zhèi hūn	这婚
zhèi huò	这货
zhèi huó	这活
zhèi huǒ	这伙
zhèi huǒ	这火
zhèi jǐ	这几
zhèi jí	这集
zhèi jì	这既
zhèi jì	这季
zhèi jī	这鸡
zhèi jì	这记
zhèi jiā	这家
zhèi jià	这架
zhèi jià	这价
zhèi jiàn	这件
zhèi jiān	这间
zhèi jiāng	这将
zhèi jiào	这叫
zhèi jiǎo	这脚
zhèi jiè	这届
zhèi jié	这节
zhèi jiù	这就
zhèi jiǔ	这酒
zhèi jù	这句
zhèi jú	这局
zhèi jù	这剧
zhèi jù	这具
zhèi juǎn	这卷
zhèi kǎ	这卡
zhèi kàn	这看
zhèi kē	这颗
zhèi kě	这可
zhèi kē	这棵
zhèi kē	这科
zhèi kè	这课
zhèi kè	这刻
zhèi kǒu	这口
zhèi kuài	这块
zhèi kuǎn	这款
zhèi lái	这来
zhèi lèi	这类
zhèi lǐ	这里
zhèi lì	这粒
zhèi liǎ	这俩
zhèi liǎn	这脸
zhèi lián	这连
zhèi liǎng	这两
zhèi liàng	这辆
zhèi liè	这列
zhèi lìng	这令
zhèi lóu	这楼
zhèi lù	这路
zhèi lún	这轮
zhèi mǎ	这码
zhèi māo	这猫
zhèi me	这么
zhèi méi	这枚
zhèi mén	这门
zhèi mǐ	这米
zhèi miàn	这面
zhèi míng	这名
zhèi mù	这幕
zhèi nǎ	这哪
zhèi néng	这能
zhèi nián	这年
zhèi niǎo	这鸟
zhèi pà	这怕
zhèi pái	这排
zhèi pán	这盘
zhèi pén	这盆
zhèi pī	这批
zhèi pǐ	这匹
zhèi piān	这篇
zhèi piàn	这片
zhèi piào	这票
zhèi píng	这瓶
zhèi qǐ	这起
zhèi qī	这期
zhèi qián	这钱
zhèi qiāng	这枪
zhèi qiáo	这桥
zhèi qiú	这球
zhèi qū	这区
zhèi qū	这曲
zhèi quán	这全
zhèi quān	这圈
zhèi quàn	这券
zhèi què	这却
zhèi què	这确
zhèi qún	这群
zhèi ràng	这让
zhèi rén	这人
zhèi rì	这日
zhèi ròu	这肉
zhèi shá	这啥
zhèi shàn	这扇
zhèi shān	这山
zhèi shēn	这身
zhèi shēng	这声
zhèi shì	这是
zhèi shí	这时
zhèi shì	这事
zhèi shǐ	这使
zhèi shī	这诗
zhèi shǒu	这首
zhèi shǒu	这手
zhèi shū	这书
zhèi shù	这束
zhèi shù	这树
zhèi shuāng	这双
zhèi shuǐ	这水
zhèi shuí	这谁
zhèi shuō	这说
zhèi sī	这厮
zhèi sōu	这艘
zhèi suàn	这算
zhèi suǒ	这所
zhèi tái	这台
zhèi tài	这太
zhèi tān	这摊
zhèi tàng	这趟
zhèi tāng	这汤
zhèi táng	这堂
zhèi tào	这套
zhèi tí	这题
zhèi tiān	这天
zhèi tiáo	这条
zhèi tiē	这贴
zhèi tǐng	这挺
zhèi tóng	这同
zhèi tōng	这通
zhèi tǒng	这桶
zhèi tóu	这头
zhèi tú	这图
zhèi tuán	这团
zhèi tuǐ	这腿
zhèi wá	这娃
zhèi wǎn	这碗
zhèi wǎn	这晚
zhèi wèi	这位
zhèi wéi	这为
zhèi wèi	这味
zhèi wō	这窝
zhèi wū	这屋
zhèi xì	这戏
zhèi xià	这下
zhèi xiā	这虾
zhèi xiàn	这线
zhèi xiàng	这项
zhèi xiàng	这像
zhèi xiāng	这厢
zhèi xiē	这些
zhèi xié	这鞋
zhèi xīn	这心
zhèi xíng	这行
zhèi yàng	这样
zhèi yào	这要
zhèi yào	这药
zhèi yě	这也
zhèi yè	这页
zhèi yè	这夜
zhèi yī	这一
zhèi yǐ	这已
zhèi yòu	这又
zhèi yǒu	这有
zhèi yóu	这油
zhèi yǔ	这与
zhèi yú	这鱼
zhèi yǔ	这雨
zhèi zài	这在
zhèi zé	这则
zhèi zhàn	这站
zhèi zhāng	这张
zhèi zhāng	这章
zhèi zhàng	这仗
zhèi zhāo	这招
zhèi zhēn	这真
zhèi zhèn	这阵
zhèi zhǐ	这只
zhèi zhī	这支
zhèi zhǐ	这纸
zhèi zhī	这枝
zhèi zhǒng	这种
zhèi zhōu	这周
zhèi zhū	这株
zhèi zhù	这注
zhèi zhuāng	这桩
zhèi zhuàng	这幢
zhèi zhuō	这桌
zhèi zì	这字
zhèi zōng	这宗
zhèi zǔ	这组
zhèi zuì	这罪
zhèi zūn	这尊
zhèi zuò	这座
zài bu le	在不了
a zhèi shì	啊这是
a zhèi xiē	啊这些
ài zhèi ge	爱这个
ài zhèi xiē	爱这些
ài zhèi yàng	爱这样
àn zhèi ge	按这个
ǎn zhèi ge	俺这个
àn zhèi lǐ	按这里
ǎn zhèi lǐ	俺这里
àn zhèi yàng	按这样
àn zhèi zhǒng	按这种
bǎ zhèi cì	把这次
bǎ zhèi duàn	把这段
bǎ zhèi ge	把这个
bǎ zhèi jí	把这集
bǎ zhèi lèi	把这类
bǎ zhèi lǐ	把这里
bǎ zhèi liǎng	把这两
bǎ zhèi xiàng	把这项
bǎ zhèi xiē	把这些
bǎ zhèi zhǒng	把这种
bái zhèi yàng	白这样
bàn zhèi yàng	办这样
bèi zhèi ge	被这个
bèi zhèi xiē	被这些
bèi zhèi yàng	被这样
bèi zhèi zhǒng	被这种
bǐ zhèi ge	比这个
bǐ zhèi lǐ	比这里
biǎo zhèi yàng	表这样
bié zhèi yàng	别这样
bié zhèi zhǒng	别这种
bú zhèi yàng	不这样
cái zhèi diǎn	才这点
cāi zhèi ge	猜这个
cái zhèi yàng	才这样
chàng zhèi gē	唱这歌
cháo zhèi biān	朝这边
chèn zhèi ge	趁这个
chèn zhèi shí	趁这时
chéng zhèi yàng	成这样
chéng zhèi zhǒng	成这种
chī zhèi ge	吃这个
chī zhèi lèi	吃这类
chī zhèi lǐ	吃这里
chī zhèi tào	吃这套
chí zhèi yàng	持这样
chí zhèi zhǒng	持这种
chuān zhèi ge	穿这个
chuān zhèi jiàn	穿这件
cì zhèi yàng	次这样
cóng zhèi ge	从这个
cóng zhèi lǐ	从这里
dǎ zhèi ge	打这个
dǎ zhèi lǐ	打这里
dài zhèi lǐ	带这里
dàn zhèi cì	但这次
dàn zhèi dōu	但这都
dàn zhèi huì	但这会
dàn zhèi xiē	但这些
dàn zhèi zhǒng	但这种
dāng zhèi ge	当这个
dào zhèi biān	到这边
dào zhèi diǎn	到这点
dào zhèi ge	到这个
dào zhèi lái	到这来
dào zhèi lǐ	到这里
dào zhèi shí	到这时
dé zhèi yàng	得这样
děng zhèi xiē	等这些
diǎn zhèi ge	点这个
diǎn zhèi lǐ	点这里
diǎn zhèi yàng	点这样
dìng zhèi ge	定这个
dōu zhèi ge	都这个
dōu zhèi yàng	都这样
dōu zhèi zhǒng	都这种
duì zhèi bāng	对这帮
duì zhèi cì	对这次
duì zhèi ge	对这个
duì zhèi lǐ	对这里
duì zhèi méi	对这没
duì zhèi zhǒng	对这种
duō zhèi lǐ	多这里
ér zhèi cì	而这次
ér zhèi ge	而这个
ér zhèi lǐ	而这里
ér zhèi shí	而这时
ér zhèi xiē	而这些
ér zhèi yàng	而这样
ér zhèi zhǒng	而这种
fā zhèi ge	发这个
fā zhèi tiáo	发这条
fā zhèi zhǒng	发这种
fàn zhèi zhǒng	犯这种
fàng zhèi ba	放这吧
fàng zhèi ge	放这个
fàng zhèi lǐ	放这里
fàng zhèi shǒu	放这首
gàn zhèi ge	干这个
gàn zhèi huó	干这活
gǎn zhèi yàng	敢这样
gǎo zhèi ge	搞这个
gǎo zhèi xiē	搞这些
gǎo zhèi zhǒng	搞这种
gěi zhèi biān	给这边
gěi zhèi lèi	给这类
gěi zhèi lǐ	给这里
gěi zhèi xiē	给这些
gēn zhèi ge	跟这个
guǎn zhèi ge	管这个
guāng zhèi yàng	光这样
guò zhèi yàng	过这样
hái zhèi yàng	还这样
hái zhèi zhǒng	还这种
hǎo zhèi lǐ	好这里
hé zhèi zhǒng	和这种
huà zhèi ge	画这个
huàn zhèi ge	换这个
huì zhèi yàng	会这样
huì zhèi zhǒng	会这种
jiāng zhèi ge	将这个
jiǎng zhèi ge	讲这个
jiǎng zhèi huà	讲这话
jiāng zhèi xiē	将这些
jiǎng zhèi xiē	讲这些
jiǎng zhèi zhǒng	讲这种
jiào zhèi ge	叫这个
jiè zhèi ge	借这个
jìn zhèi ge	进这个
jiù zhèi a	就这啊
jiù zhèi ba	就这吧
jiù zhèi bān	就这般
jiù zhèi dà	就这大
jiù zhèi de	就这的
jiù zhèi diǎn	就这点
jiù zhèi ge	就这个
jiù zhèi huà	就这话
jiù zhèi jiā	就这家
jiù zhèi lái	就这来
jiù zhèi liǎ	就这俩
jiù zhèi sā	就这仨
jiù zhèi xiē	就这些
jiù zhèi yàng	就这样
jiù zhèi zhǒng	就这种
jù zhèi wèi	据这位
kāi zhèi ge	开这个
kàn zhèi ge	看这个
kàn zhèi lǐ	看这里
kàn zhèi yàng	看这样
kào zhèi ge	靠这个
kǎo zhèi ge	考这个
kǎo zhèi lǐ	考这里
kě zhèi cì	可这次
kě zhèi qián	可这钱
kě zhèi zhǒng	可这种
kuài zhèi lǐ	快这里
lái zhèi ba	来这吧
lái zhèi biān	来这边
lái zhèi diǎn	来这点
lái zhèi ge	来这个
lái zhèi lǐ	来这里
lái zhèi tào	来这套
lǎo zhèi ge	老这个
lǎo zhèi yàng	老这样
lǎo zhèi zhǒng	老这种
lèi zhèi yàng	累这样
lí zhèi lǐ	离这里
lián zhèi ge	连这个
liáo zhèi ge	聊这个
liáo zhèi shì	聊这事
mǎ zhèi piān	码这篇
mǎi zhèi ge	买这个
mǎi zhèi jiàn	买这件
mǎi zhèi xiē	买这些
mài zhèi xiē	卖这些
máo zhèi zhǒng	毛这种
méi zhèi diàn	没这店
méi zhèi ge	没这个
měi zhèi lǐ	美这里
méi zhèi mìng	没这命
méi zhèi yàng	没这样
méi zhèi zhǒng	没这种
mò zhèi yàng	莫这样
nà zhèi bù	那这不
nà zhèi ge	那这个
ná zhèi ge	拿这个
nà zhèi huì	那这会
nà zhèi jiù	那这就
nà zhèi xiē	那这些
ná zhèi xiē	拿这些
nào zhèi ge	闹这个
nèn zhèi ge	嫩这个
nèn zhèi shì	嫩这是
néng zhèi yàng	能这样
nǐ zhèi bān	你这般
nǐ zhèi biān	你这边
nǐ zhèi bù	你这不
nǐ zhèi cì	你这次
nǐ zhèi de	你这的
nǐ zhèi dōu	你这都
nǐ zhèi fèn	你这份
nǐ zhèi ge	你这个
nǐ zhèi huì	你这会
nǐ zhèi lái	你这来
nǐ zhèi lǐ	你这里
nǐ zhèi miàn	你这面
nǐ zhèi nián	你这年
nǐ zhèi rén	你这人
nǐ zhèi shì	你这是
nǐ zhèi shí	你这时
nǐ zhèi suàn	你这算
nǐ zhèi tiān	你这天
nǐ zhèi tú	你这图
nǐ zhèi wá	你这娃
nǐ zhèi xià	你这下
nǐ zhèi xiē	你这些
nǐ zhèi yàng	你这样
nǐ zhèi yě	你这也
nǐ zhèi zhǒng	你这种
nín zhèi biān	您这边
nín zhèi ge	您这个
nín zhèi shì	您这是
nòng zhèi ge	弄这个
ō zhèi yàng	喔这样
pèi zhèi ge	配这个
qì zhèi yàng	气这样
qián zhèi shì	钱这是
qù zhèi lǐ	去这里
què zhèi yàng	却这样
ràng zhèi ge	让这个
ràng zhèi kē	让这颗
ràng zhèi xiē	让这些
ràng zhèi zhǒng	让这种
rén zhèi huì	人这会
rén zhèi yàng	人这样
