hóng huà	红话
cāo jué	糙决
gè zhī	个支
hēi lán	黑兰
chuō dá	戳达
gè dāo	个刀
dǎo xīn	导心
cā niú	擦牛
mō lāo	摸捞
méi là	没辣
ná niàn	拿念
gè zhé	个折
duì dá	对达
shī liū èr yǎn	失溜二眼
xiā méi chù yǎn	瞎眉触眼
diān máo chàn yǎn	颠毛颤眼
qiú méi xìng yǎn	求眉杏眼
cí méi xìng yǎn	瓷眉杏眼
náng méi fèng yǎn	囊眉凤眼
guāng méi jùn yǎn	光眉俊眼
shū méi zhǎn yǎn	舒眉展眼
huī méi chù yǎn	灰眉触眼
jiǎ méi xīng yǎn	假眉惺眼
pàng méi zhǒng yǎn	胖眉肿眼
jí méi bà yǎn	急眉霸眼
hóu méi wā yǎn	猴眉洼眼
lì méi bà yǎn	立眉霸眼
hēi méi wā yǎn	黑眉洼眼
sāo méi lā yǎn	骚眉垃眼
diū méi chě yǎn	丢眉扯眼
sǐ méi yáng yǎn	死眉羊眼
zéi méi shǔ yǎn	贼眉鼠眼
tǔ méi hùn yǎn	土眉混眼
tū méi shǎo yǎn	秃眉少眼
guǐ méi liù yǎn	鬼眉六眼
nǎn méi tā yǎn	揇眉塌眼
méi méi huǎng yǎn	没眉晃眼
cí bā wǎ guān	瓷八瓦观
huó yǎn zhuǎn sè	活眼转色
nǎo méi hèn yǎn	恼眉恨眼
xǐ méi xiào yǎn	喜眉笑眼
cí méi shàn yǎn	慈眉善眼
jiā fēng léng zhèng	夹疯楞症
lèng qī kǎn bā	愣七砍八
chén lǐ gē sè	陈里圪色
jīng shuō bái dào	精说白道
diē dōng yǎo xī	跌东舀西
zè lèng sàn piān	仄愣散偏
máo fǎn dài luàn	毛反带乱
dǎ jià gè yàn	打架各厌
chéng sè lǎn qì	成色懒气
pī tóu gài liǎn	劈头盖脸
yīn qī yáng bā	阴七阳八
guǐ hū líng dīng	鬼忽零丁
zhāng bā gài jiǔ	张巴盖九
yóu chū bǎi jìn	游出摆进
liāo māo xì gǒu	撩猫戏狗
bái pí fàn liǎn	白皮泛脸
píng bù ya chá	平不呀查
xū léng dèng jià	虚棱凳架
zī yá dǎ diào	龇牙打调
tǔ tiān wā dì	吐天洼地
dǎ yá shàn zuǐ	打牙讪嘴
zuǐ jiān máo cháng	嘴尖毛长
shǎn shēn tà qiǎn	闪深踏浅
héng jiǎo shùn shuō	横搅顺说
chéng lǐ bā sè	成里八色
biàn méi shī liǎn	变眉失脸
wāi sān zè lèng	歪三仄愣
wa jī chǎo nào	哇叽吵闹
guǐ qī liè bā	鬼七裂八
yún shān wù zhào	云山雾罩
mó bí cèng yǎng	磨鼻蹭痒
guǎ bí liù shuō	寡鼻六说
duō bí ké sòu	多鼻咳嗽
yóu bí gē jué	油鼻圪嚼
yīn yán guǐ yǔ	阴言鬼语
wǔ méi sān dào	五眉三道
qiāng chá gǔ dōng	呛查古东
lóng qī kǎn zhèng	聋七坎症
qióng dǎ jí nào	穷打急闹
qióng jí shēng fēng	穷急生风
qiān cū bǎ xì	牵粗把细
diē pí nòng kuǎ	跌皮弄垮
dòu dǎ shén sàn	斗打神散
ná lóng zhuō hǔ	拿龙捉虎
máng huāng shí luàn	忙慌什乱
piāo yóu làng dàng	飘游浪荡
niǔ tóu bù lěi	扭头不垒
pāi dà lái xiǎo	拍大来小
zhī tiān le dì	支天了地
shén tóu guǐ liǎn	神头鬼脸
bā tóu shàng liǎn	扒头上脸
bái bù lǐ zhèng	白不理正
běn bù yá chā	本不牙叉
bù yóu fēn shuǐ	不由分水
dà kǒu mǎ yá	大口马牙
diǎn zháo chuī měi	点着吹美
dū jǐ dū dá	厾几厾达
guǐ shēng yè qì	鬼声夜气
hān chī lèng hài	憨吃愣害
hēng wǔ hē liù	哼五喝六
hú zhī yě chě	胡支也扯
jí diāo wǎ qiǎng	急刁瓦抢
jiān yán zhà yǔ	尖言诈语
jiǎng jīng shuō fǎ	讲经说法
shàn shàn dá dá	扇扇达达
sī yóu zuò fān	私由作翻
diē gēn qiǎng tóu	跌跟抢头
héng tǎng shù wò	横躺竖卧
jīng qī míng bā	精七明八
yóu qiāng huá diào	油腔滑调
rì zǔ wáng cháo	日祖王朝
gē xiǔ dǎ dàn	圪朽打蛋
shòu mǎ gē lián	瘦马圪连
gē sī gē rěn	圪思圪忍
gē zhé bǎi shì	圪折摆势
hū sōng yǎo dá	忽松咬沓
huō gōu dǎ yá	豁沟打牙
sǐ sōng pò dù	死松破肚
lěng qīng kè qi	冷清客气
fān bí má yè	翻鼻麻叶
ruǎn jī gē néng	软鸡圪能
mí hu dǎ dàn	迷糊打蛋
sǐ qiú yí jì	死求一记
tū zuǐ bèn shé	秃嘴笨舌
sì dà bù āi	四大不挨
tǎo chī luàn guǐ	讨吃乱鬼
shí zī lài hài	十龇赖害
ruǎn yāo liè kuǎ	软腰裂垮
gē lián qián dàn	圪连前蛋
gē jī sàn tā	圪叽散塌
wō jī gē náng	窝叽圪囊
gū dú liú xì	孤独流细
xiǎo jiā wǎ qì	小家瓦气
fān lǐ zhé wài	翻里折外
suān wén jiǎ cù	酸文假醋
fú pí le cǎo	浮皮了草
xiǎo yǎn bù pí	小眼簿皮
gē chōu gē chě	圪抽圪扯
zhān jǐ hú chá	粘几糊察
mī lián hū dōu	眯连忽都
gē liè gē bā	圪列圪八
sǐ jīng gē rèn	死精圪韧
shuǎng qián tuì hòu	爽前褪后
tuī qián shuǎng hòu	推前爽后
méi máo yǎn zhā	眉毛眼扎
lā tāng mò xiàn	拉汤沫线
méi zhuō méi ná	没捉没拿
lā bā chě yè	拉巴扯叶
chōu yòu chōu yòu	抽柚抽柚
cuò qián mō hòu	错前摸后
dǎ zá lào máo	打杂烙毛
āi jiě	娭毑
bǎo zuo	饱咗
dì xì	睇戏
liǎo nán	了难
liāo piē	撩撇
mái shù	埋数
nào rè	闹热
qià jiǔ	恰酒
wú gāi	唔该
zhèng yě	正嘢
qià dé kǔ	恰得苦
qià diǎn jiǔ	恰点酒
qià diǎn dōng xi	恰点东西
xì lī dù	系哩度
dào wū qǐ	到屋企
kā kā jiǎo jiǎo	㮟㮟角角
diān guò lù zhè	掂过碌蔗
guǒ jīn	裹筋
biàn liàng zhèng	便靓正
wú gòu liàng zǎi	唔够靓仔
zuì liàng kǎi zhū nǎn ròu	最靓嘅猪腩肉
