a	A+
sì g liú liàng	4G流量
sì g wǎng luò	4G网络
sì h qiān bǐ	4H铅笔
sì k diàn shì	4K电视
sim kǎ	SIM卡
tab jiàn	Tab键
tài low	太low
táo bǎo c diàn	淘宝C店
téng shì d jiǔ	腾势D9
téng shì n jiǔ	腾势N9
téng shì n qī	腾势N7
téng xùn qq	腾讯QQ
tf bǎn běn	TF版本
tí bug	提bug
tóu wén zì d	头文字D
tv bǎn běn	TV版本
u pán cún chǔ	U盘存储
uc xiǎo biān	UC小编
ui shè jì	UI设计
uim kǎ	UIM卡
usb kǒu	USB口
usb xiàn	USB线
uu yuǎn chéng	UU远程
uv xī shōu	UV吸收
ux tǐ yàn	UX体验
v bā yǐn qíng	V8引擎
vip kǎ	VIP卡
vs duì jué	VS对决
vt èr	VT-2
vt sì	VT-4
vt wǔ	VT-5
wan kǒu	WAN口
web bǎn	Web版
web duān	Web端
wéi shēng sù a	维生素A
wéi shēng sù b	维生素B
wéi shēng sù c	维生素C
wéi shēng sù d	维生素D
wéi shēng sù e	维生素E
wéi shēng sù k	维生素K
wèn jiè m jiǔ	问界M9
wèn jiè m qī	问界M7
wèn jiè m wǔ	问界M5
win bǎn	Win版
win duān	Win端
wl èr	WL-2
wl sān	WL-3
wǒ de ip	我的ip
wǒ jiào mt	我叫MT
wǒ ok a	我OK啊
wǔ g liú liàng	5G流量
wǔ g shǒu jī	5G手机
wǔ g wǎng luò	5G网络
wú zhēn bā	无侦-8
wú zhēn qī	无侦-7
wz bā	WZ-8
wz qī	WZ-7
x rǎn sè tǐ	X染色体
xiǎng jiè s jiǔ	享界S9
xiǎo bug	小bug
xiǎo péng g jiǔ	小鹏G9
xiǎo péng g liù	小鹏G6
xiǎo péng g sān	小鹏G3
xiǎo péng p qī	小鹏P7
xiǎo péng p wǔ	小鹏P5
xiě bug	写bug
xiū bug	修Bug
xxh diào	XXH调
y bā q	Y-8Q
y èr líng	Y-20
y rǎn sè tǐ	Y染色体
y yī èr	Y-12
yǎng wàng u bā	仰望U8
yǎng wàng u jiǔ	仰望U9
yǎng wàng u qī	仰望U7
yì lóng èr	翼龙-2
yì lóng sān	翼龙-3
yì wéi a suān	异维A酸
yǒng shuò e pán	永硕E盘
yǒu bug	有bug
yùn bā q	运-8Q
yùn èr líng	运-20
yùn yī èr	运-12
yy yǔ yīn	YY语音
z èr líng	Z-20
z nì biàn huàn	z逆变换
z yī bā	Z-18
z yī jiǔ	Z-19
z yī líng	Z-10
z yī wǔ	Z-15
z yī yī	Z-11
zhǎo bug	找bug
zhēn néng bb	真能BB
zhí èr líng	直-20
zhì jǐ l liù	智己L6
zhì jǐ l qī	智己L7
zhì jiè r qī	智界R7
zhì jiè s qī	智界S7
zhí yī bā	直-18
zhí yī jiǔ	直-19
zhí yī líng	直-10
zhí yī wǔ	直-15
zhí yī yī	直-11
zhuāng dào c pán	装到C盘
zhuāng dào d pán	装到D盘
zhuāng dào e pán	装到E盘
abs shā chē	ABS刹车
ai dà mó xíng	AI大模型
api diào yòng	API调用
api jiē kǒu	API接口
app gēng xīn	APP更新
app nèi gòu	APP内购
app tōng zhī	APP通知
app xià zài	APP下载
app yìng yòng	APP应用
aps c	APS-C
aria èr	Aria2
atm qǔ kuǎn	ATM取款
b lín bā xì bāo	B淋巴细胞
bā bā vip	88vip
bǎo shí gem	宝石Gem
bēn chí eqb	奔驰EQB
bēn chí eqc	奔驰EQC
bēn chí eqe	奔驰EQE
bēn chí eqs	奔驰EQS
bēn chí gla	奔驰GLA
bēn chí glb	奔驰GLB
bēn chí glc	奔驰GLC
bēn chí gle	奔驰GLE
bēn chí gls	奔驰GLS
beta bǎn	Beta版
bié kè gl bā	别克GL8
bmw bǎo mǎ	BMW宝马
c biān chéng	C++编程
caps jiàn	Caps键
cd bō fàng qì	CD播放器
ceo jiǎng huà	CEO讲话
cfd mó nǐ	CFD模拟
cfo bào gào	CFO报告
chàn yǒng vib	颤泳vib
cháng jiàn èr líng	长剑-20
cháng jiàn yī líng	长剑-10
chū bug le	出Bug了
cj èr líng	CJ-20
cj yī líng	CJ-10
cnc jiā gōng	CNC加工
cny zhàng hù	CNY账户
co èr jiǎn cè	CO2检测
co èr pái fàng	CO2排放
cpu hé shù	CPU核数
cpu wēn dù	CPU温度
cpvc guǎn	CPVC管
crm ruǎn jiàn	CRM软件
crm xì tǒng	CRM系统
css yàng shì	CSS样式
ctrl jiàn	Ctrl键
cz èr c	CZ-2C
cz èr d	CZ-2D
cz sān b	CZ-3B
cz sān c	CZ-3C
cz sì b	CZ-4B
cz sì c	CZ-4C
cz yī yī	CZ-11
dǎ call	打call
dān biān z biàn huàn	单边z变换
df èr liù	DF-26
df èr yī	DF-21
df liù yī	DF-61
df sān yī	DF-31
df sì yī	DF-41
df wǔ c	DF-5C
df yī qī	DF-17
df yī wǔ	DF-15
df yī yī	DF-11
dié buff	叠buff
diy shǒu gōng	DIY手工
diy zǔ zhuāng	DIY组装
dna bǐ duì	DNA比对
dna cè xù	DNA测序
dna fēn zǐ	DNA分子
dna jiǎn cè	DNA检测
dna jiàn dìng	DNA鉴定
dna xù liè	DNA序列
dns jié chí	DNS劫持
dns jiě xī	DNS解析
dns pèi zhì	DNS配置
dns wū rǎn	DNS污染
dock lán	Dock栏
dōng fēng èr liù	东风-26
dōng fēng èr qī	东风-27
dōng fēng èr yī	东风-21
dōng fēng liù yī	东风-61
dōng fēng sān yī	东风-31
dōng fēng sì yī	东风-41
dōng fēng wǔ c	东风-5C
dōng fēng yī èr	东风-12
dōng fēng yī liù	东风-16
